smiles,score
c1ccc(c(c1)Cc2nc(on2)C[NH+](CCO)CCO)Cl,9.304720878601074
Cn1ccc2c1cc(cc2)C(=O)N3CC[NH+](CC3)Cc4ccccc4,9.304720878601074
Cc1ccc(nn1)[N@]2CCn3c(cc(n3)C[NH+]4CCSCC4)C2,9.303762435913086
C[N@H+]1CCCCC[C@@H]1C(=O)N2CCC[N@H+](CC2)C3Cc4ccccc4C3,9.299089431762695
CS(=O)(=O)NC[C@H]1CCC2(C[NH+](C2)Cc3ccc(cc3)F)OC1,9.27595329284668
Cc1cc(nc(n1)/[NH+]=C(\N)/NC2CCCCCC2)C,9.27595329284668
COc1cccc(c1)NC(=S)NCCC[NH+]2CCCCC2,9.274665832519531
CCSc1nc(c-2[n+](n1)[C@H](Nc3c2cccc3)c4ccc(c(c4)O)OC)O,9.267868041992188
Cc1cc(=O)oc2c1c(cc3c2CCC(O3)(C)C)OCC(=O)N(C)C[C@H](CO)O,9.267868041992188
c1ccnc(c1)C(=O)N2C[C@@H]3CC[C@H](C2)N(C3)C(=O)Cc4cccc(c4)O,9.267868041992188
c1cc(c(c2c1cc(c(=O)o2)c3cc(cc(c3)F)F)C[NH2+]CCC[NH+]4CCOCC4)O,9.267696380615234
Cc1[nH]c(=O)cc(n1)CNC(=O)CC[C@@H]2CCC[N@@H+](C2)C,9.262794494628906
COC(=O)C1=C(CC[N@@H+](C1)Cc2ccccc2)[NH3+],9.250572204589844
Cc1ccc2c(c1)c(c[nH]2)[C@@H](C(=O)[O-])[N@@H+]3C[C@@H]4C[C@H](C3)c5cccc(=O)n5C4,9.23768138885498
c1cc2c(cc1N/C(=[NH+]\Cc3nccs3)/N)CCC2,9.231486320495605
Cc1c(cc(n1C)C#N)C[N@@H+]2C[C@H]([C@@H](C2)NC(=O)C)c3ccc(cc3)OC,9.230640411376953
c1cc(c(cc1F)Cl)C[N@H+]2C[C@@H]([C@H](C2)O)NC(=O)c3c[nH]cn3,9.230640411376953
c1cc(cc(c1)F)C(=O)O/[NH+]=C(/c2ccc(cc2)Cl)\N,9.217978477478027
CCCc1c(nc(s1)n2cccc2)C(=O)[NH+]=c3cc[nH]cc3,9.20439338684082
COc1ccccc1C2(CC2)CNC(=O)N[C@@H]3C[C@H]4CC[C@@H]3O4,9.199810028076172
Cc1cc(cc([nH+]1)[C@H]2CC[N@H+](C2)Cc3ccncc3)NC,9.183624267578125
C[NH+]1CCC(CC1)(c2ccccc2)c3nc([nH]n3)Cc4cccs4,9.173730850219727
CC[NH+]1CCC(CC1)CNC(=O)c2[nH]c(c[nH+]2)C,9.173730850219727
CC[NH+](CC)Cc1cc(c(o1)C)C(=O)N2CC[C@@H]2c3ccc(cc3)F,9.173730850219727
CCCn1c(nnc1SCc2c3c(on2)CCCC3)O,9.167880058288574
Cc1csc(n1)CCCNC(=O)[C@@H]2CCC[C@@H](C2)O,9.167880058288574
CC[C@H](Cn1ccc(n1)c2cccc(c2)c3ccncc3)O,9.167880058288574
C[C@H]1[C@H](C[C@@H]([NH2+][C@@H]1c2ccccc2)c3ccccc3)O,9.167880058288574
C[C@@H](C(=O)[O-])[N@@H+]1CCc2cc(cc(c2C1)Cl)Cl,9.159961700439453
COc1ccc(cc1Br)[C@@H]2N=c3ccccc3=C4[N@H+]2NC(=NC4=O)SCC=C,9.151896476745605
CC(C)(C)c1ccc(cc1)C(=O)c2cccc(c2)NC(=O)C[N@@](c3ccccc3)S(=O)(=O)N(C)C,9.149630546569824
C[N@]1CCC[N@@H+](CC1)CC(=O)NCc2nnc3n2CCCC3,9.144307136535645
c1ccc(cc1)C[NH+]2CCC(CC2)NC(=S)N[C@H]3C[C@@H]4CC[C@H]3C4,9.142804145812988
c1ccc(cc1)CC[NH+](Cc2[nH]c3ccccc3n2)Cc4[nH]c5ccccc5n4,9.142804145812988
CC/[NH+]=C/1\N(C(=O)/C(=C\c2cn(c3c2cccc3)Cc4cccc(c4)C(=O)OC)/S1)CC,9.141347885131836
c1cn(nn1)C[C@@H]2CCCN(C2)/C(=[NH+]\C3CC(C3)C(F)(F)F)/O,9.134068489074707
c1ccc(cc1)C[C@H]2C[N@@H+](CC(=O)N2)Cc3ccccc3OC4CCCC4,9.115365982055664
Cc1cc(n(n1)C)C[N@@H+]2Cc3ccnn3[C@@H](C2)C(=O)N(C)C,9.115365982055664
c1cc(ccc1O[C@@H]2CC[N@H+](CC[C@H]2O)Cc3ccsc3)F,9.115365982055664
CC(=O)c1cc(cs1)C[N@H+]2CC[C@@H](C2)Cc3cccc(c3)CO,9.115365982055664
Cn1cc(cc1C#N)C[N@@H+]2CCC[C@@H](C2)COc3ccc(cc3)F,9.115365982055664
CSc1ncc(cn1)C[N@@H+]2CC[C@H](C2)CNC(=O)c3ccc[nH]3,9.115365982055664
CCc1ccc2c(c1)c(cc(=O)o2)C[N@H+](CC)CCO,9.102005004882812
c1ccc(cc1)C[NH+]2CCC(CC2)[N@@H+]3CCC[C@@H](C3)c4ccn(n4)CC(=O)[O-],9.096731185913086
COc1cccc(c1OC[C@H](C[NH+]2CCOCC2)O)C[NH2+]CCc3cccnc3,9.095372200012207
c1ccc(cc1)N2CCN(CC2)C(=O)C[N@H+]3CCC[C@H](C3)C(=O)N,9.09014892578125
CC[C@H](CNC(=O)c1ccc(o1)Br)[N@H+]2CCc3ccccc3C2,9.09014892578125
CCSc1ccccc1NC(=O)[C@@H]2CCC[N@](C2)S(=O)(=O)c3ccccc3,9.09014892578125
CC(C)(C)c1cc([nH]n1)C[N@@H+](C)CCCOc2ccccc2Cl,9.09014892578125
CN(C)c1ccc(cc1)[C@@H](CNS(=O)(=O)c2ccccc2Cl)[N@@H+]3CCc4ccccc4C3,9.09014892578125
c1ccc2c(c1)[nH]c(n2)CN3CC[NH+](CC3)CC(=O)Nc4ccc(cc4)F,9.089177131652832
c1cc(cc(c1)O)C[NH+]2CCN(CC2)Cc3ccc(cc3)C#N,9.089177131652832
c1ccc(c(c1)CCC(=O)N[C@@H]2CCC[N@@H+](C2)Cc3cccs3)Cl,9.06802749633789
